ID;Type;Question;Answer;Img_path
1;Aberta;Quem é o(a) professor(a) de Astronomia na Escola de Hogwarts?;Aurora Sinistra;
2;Aberta;O que faz a magia Alohomora?;Abrir Portas;
3;Aberta;A qual casa pertenceu Lord Voldemort?;Sonserina;
4;Aberta;Qual a ordem cronológica dos livros?;A Pedra Filosofal, A Câmara Secreta, O Prisioneiro de Azkaban, O Cálice de Fogo, A Ordem da Fênix, O Enigma do Príncipe e As Relíquias da Morte;
5;Aberta;Em qual dos livros o personagem Cedrico Diggory morre?;Cálice de Fogo;
6;Aberta;Qual coincidência leva Harry Potter e Luna Lovegood a enxergarem os testrálios?;Ambos já viram possoas morrerem diante de suas vistas;
7;Aberta;Como Harry descreve seu beijo com Cho Chang?;Molhado;
8;Aberta;Antes da Murta-Que-Geme morrer, ela estava no banheiro. Por que?;Ela chorava escondido porquê uma garota debochou dos seus óculos;
9;Aberta;Com quem Ron Wesley namora no sexto ano?;Lilá Brown;
10;Aberta;Cálice de Fogo: no Torneio Tribruxo, quem sabia onde estava a exata localização da Taça?;Moody;
11;Aberta;Qual é o nome da irmã de Fleur?;Gabrielle;
12;Aberta;Qual o nome completo de Harry;Harry Tiago Potter;
13;Aberta;Antes de ir para Hogwarts, onde Harry vivia?;Na casa de seus tios, sr. e sra. Dursley.;
14;Aberta;Qual é o nome do Elfo-doméstico em que Harry Potter ajudou a ter liberdade?;Dobby;
15;Aberta;De que Sírius Black foi julgado e por isso mandado a Azkaban?;Sírius foi acusado de ter sido cumplice de Voldemort quando matou os Pais de Harry;
16;Aberta;O que tem em comum entre a varinha de Harry e a varinha de Voldemort?;As duas eram da mesma madeira;
17;Aberta;Qual vilão tenta matar Harry desde que ele era um bebê?;Lord Voldemort;
18;Aberta;Remo Lupin é um...;Lobisomem;
19;Aberta;"Qual é o nome da serpente gigantesca que foi morta por Harry em ""Harry Potter e a Câmera Secreta""?";Basilisco;
20;Aberta;Qual o nome do professor de Hogwarts que Harry menos gosta?;Severo Snape;
21;Aberta;Qual o nome da loja dos gêmeos Weasley, irmãos de Rony?;Gemialidades Weasley;
22;Aberta;Qual casa pertence Cedrico Diggory?;Lufa-Lufa;
23;Aberta;"No livro ""Harry Potter e a Câmara Secreta"", os alunos que ficaram petrificados, precisam de uma poção para trazê-los a forma normal. Qual o ingrediente que precisa ficar na fase ""adulta"" para ser utilizada na poção?";Mandrágoras;
24;Aberta;Qual o nome do cão de Rúbeo Hagrid?;Canino;
25;Aberta;Quantas maldições imperdoáveis existem?;3;
26;Aberta;Se você fizer uma maldição imperdoável, quanto tempo ficará em Azkaban (Prisão dos Bruxos)?;Para o resto da vida;
27;Aberta;Na série Harry Potter Hermione Granger usa quantas vezes uma maldição imperdoável?;Ela nãu usou;
28;Aberta;Qual é a profissão dos pais de Hermione Granger?;Dentistas;
29;Aberta;"Quem é o professor de ""Defesa Contra a Arte das Trevas"" no 6° ano?";Severo Snape;
30;Aberta;Ao final da saga, quem se torna diretor(a) do Hogwarts?;Minerva McGonagall;
31;Aberta;Qual a poção que Harry faz corretamente para ganhar um frasco de Felix Felicix?;Poção do Morto-Vivo;
32;Aberta;O que são Horcruxes?;Objetos que contém um pedaço da alma de um bruxo;
33;Aberta;Quais são as Relíquias da Morte?;Capa da Invisibilidade,Varinha das Varinhas,Pedra da ressurreição;
34;Aberta;No torneio Tribruxo que escolhido morre?;Cedrico Diggory;
35;Aberta;Com quem Rony Weasley se casa?;Hermione Granger;
36;Aberta;Com quem Harry Potter se casa?;Gina Weasley;
37;Aberta;Qual irmão Weasley morre?;Fred;
38;Aberta;Em uma entrevista, J.K. Rowling revelou que um dos personagens de sua história é gay. De quem se trata?;Alvo Dumbledore, o grande mago e diretor da escola;
39;Aberta;"O que significa o lema de Hogwarts, ""DRACO DORMIENS NUNQUAM TITILLANDUS"", escrito em latim arcaico?";"""NUNCA CUTUQUE UM DRAGÃO ADORMECIDO""";
